fy,month,IWV,VBTIX,acwi_exUS
2001,1,,,
2002,1,-0.165006165418196,0.0747963943762895,-0.254963379478247
2003,1,-0.223436211730202,0.0659860573770712,-0.158628374544535
2004,1,0.37079061085607,0.0453338866607134,0.447808247003859
2005,1,0.0657700032465234,0.0417616296342875,0.14377991907469
2006,1,0.123908690868456,0.0177446648323234,0.239709728225937
2007,1,0.142672792431132,0.0446716033907268,0.162100655415888
2008,1,-0.0344898745195136,0.0907911826816665,0.0262923973421521
2009,1,-0.387507975306578,0.0264267282834545,-0.465834386956969
2010,1,0.347181932511651,0.0854409823764266,0.434613520867761
2011,1,0.239429029496052,0.0472995384979402,0.150828844121876
2012,1,0.0368995046739278,0.0859054282675309,-0.113285218660867
2013,1,0.167586010998776,0.0256168981063736,0.104719751493753
2014,1,0.2220524166148,0.000951240849135226,0.0298626716604244
2015,1,0.129473002689787,0.0672340829527587,-0.0196494578495257
2016,1,-0.0275973101831889,-0.00446730977440712,-0.141109686452511
2017,1,0.216210567096917,0.0145637688131921,0.129709448354988
2018,1,0.24978702376491,0.0214239488526764,0.264869188782232
2019,1,-0.0245982289790236,0.0212111236019805,-0.149148097169004
2020,1,0.202953714440393,0.0993166040958273,0.0691318620860522
2021,1,0.201253308958774,0.046750989308193,0.114277437933443
2022,1,0.187072864228935,-0.0301184001862066,0.0138392747914169
2001,2,,,
2002,2,-0.088651327025108,0.0741641608472272,-0.185430610222599
2003,2,-0.22219181795334,0.0670453417437071,-0.182285259917223
2004,2,0.414361169308759,0.0461338122274391,0.516551557915908
2005,2,0.0740703627613428,0.0246853209811606,0.169789503104569
2006,2,0.102406701800258,0.0280228512289409,0.178660607622215
2007,2,0.11928681209766,0.0564095814964114,0.172812223012747
2008,2,-0.0452486989281052,0.0756532170845248,0.0489377060958622
2009,2,-0.436219492966894,0.0210183854732398,-0.52968411257831
2010,2,0.55588631735459,0.0922816704171825,0.58375181188044
2011,2,0.243160402101747,0.0469800360843837,0.181259813830018
2012,2,0.0417544874588738,0.0835603438827814,-0.088084309477472
2013,2,0.133035084486816,0.0316843440477155,0.0353262839149238
2014,2,0.266018641762737,0.000261006029180333,0.0931450907181612
2015,2,0.139447943016286,0.0506926399837713,-0.0163094526513534
2016,2,-0.0795909237335097,0.0130454150329205,-0.194650607638889
2017,2,0.261218307255937,0.0145393552157267,0.16145475449446
2018,2,0.160561554725062,0.00433779585686667,0.18637887499855
2019,2,0.0484312322492528,0.0311220455335419,-0.0896767738003279
2020,2,0.0660804133163053,0.11880936133258,-0.03406743310932
2021,2,0.35075184601312,0.0136432669194417,0.234713696883433
2022,2,0.122401877220011,-0.0263993738616596,-0.0259617058834124
2001,3,,,
2002,3,0.0157210226712805,0.0527386898433231,-0.075888241446287
2003,3,-0.244258390628805,0.0815182461050159,-0.240656547692188
